T08,Public expenditure on education (new),,,,
180,Dem. Rep. of the Congo,2015,Government expenditure on education (% of government expenditure),11.7384,
180,Dem. Rep. of the Congo,2015,Public expenditure on education (% of GDP),2.1704,
180,Dem. Rep. of the Congo,2017,Government expenditure on education (% of government expenditure),14.0064,Estimate.
180,Dem. Rep. of the Congo,2017,Public expenditure on education (% of GDP),1.455,Estimate.
208,Denmark,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.6557,
208,Denmark,2005,All staff compensation as % of total expenditure in public institutions (%),74.0627,
208,Denmark,2005,Capital expenditure as % of total expenditure in public institutions (%),5.2816,
208,Denmark,2005,Expenditure by level of education: pre-primary (as % of government expenditure),8.6466,
208,Denmark,2005,Expenditure by level of education: primary (as % of government expenditure),23.2601,
208,Denmark,2005,Expenditure by level of education: secondary (as % of government expenditure),36.3479,
208,Denmark,2005,Expenditure by level of education: tertiary (as % of government expenditure),28.6779,
208,Denmark,2005,Government expenditure on education (% of government expenditure),15.7793,
208,Denmark,2005,Public expenditure on education (% of GDP),8.0856,
208,Denmark,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.9849,
208,Denmark,2010,All staff compensation as % of total expenditure in public institutions (%),74.9409,
208,Denmark,2010,Capital expenditure as % of total expenditure in public institutions (%),7.0742,
208,Denmark,2010,Expenditure by level of education: pre-primary (as % of government expenditure),11.5214,
208,Denmark,2010,Expenditure by level of education: primary (as % of government expenditure),23.6835,
208,Denmark,2010,Expenditure by level of education: secondary (as % of government expenditure),34.519,
208,Denmark,2010,Expenditure by level of education: tertiary (as % of government expenditure),27.3289,
208,Denmark,2010,Government expenditure on education (% of government expenditure),15.1033,
208,Denmark,2010,Public expenditure on education (% of GDP),8.5596,
208,Denmark,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.1197,
208,Denmark,2013,All staff compensation as % of total expenditure in public institutions (%),73.5371,
208,Denmark,2013,Capital expenditure as % of total expenditure in public institutions (%),6.3432,
208,Denmark,2013,Expenditure by level of education: pre-primary (as % of government expenditure),13.8699,
208,Denmark,2013,Expenditure by level of education: primary (as % of government expenditure),24.8731,
208,Denmark,2013,Expenditure by level of education: secondary (as % of government expenditure),32.4174,
208,Denmark,2013,Expenditure by level of education: tertiary (as % of government expenditure),26.8938,
208,Denmark,2013,Government expenditure on education (% of government expenditure),15.2174,
208,Denmark,2013,Public expenditure on education (% of GDP),8.4944,
208,Denmark,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.8871,
208,Denmark,2014,All staff compensation as % of total expenditure in public institutions (%),73.7488,
208,Denmark,2014,Capital expenditure as % of total expenditure in public institutions (%),6.3641,
208,Denmark,2014,Expenditure by level of education: primary (as % of government expenditure),27.2067,
208,Denmark,2014,Expenditure by level of education: secondary (as % of government expenditure),40.0023,
208,Denmark,2014,Expenditure by level of education: tertiary (as % of government expenditure),30.6828,
208,Denmark,2014,Government expenditure on education (% of government expenditure),13.8268,
208,Denmark,2014,Public expenditure on education (% of GDP),7.6349,
262,Djibouti,2005,All staff compensation as % of total expenditure in public institutions (%),42.1709,
262,Djibouti,2005,Capital expenditure as % of total expenditure in public institutions (%),2.6936,
262,Djibouti,2005,Government expenditure on education (% of government expenditure),22.7151,
262,Djibouti,2005,Public expenditure on education (% of GDP),8.3659,
262,Djibouti,2007,All staff compensation as % of total expenditure in public institutions (%),38.7718,
262,Djibouti,2007,Capital expenditure as % of total expenditure in public institutions (%),4.5628,
262,Djibouti,2007,Expenditure by level of education: primary (as % of government expenditure),19.0141,
262,Djibouti,2007,Government expenditure on education (% of government expenditure),22.5274,
262,Djibouti,2007,Public expenditure on education (% of GDP),8.4063,
262,Djibouti,2010,Expenditure by level of education: primary (as % of government expenditure),34.0865,
262,Djibouti,2010,Expenditure by level of education: secondary (as % of government expenditure),37.2825,
262,Djibouti,2010,Expenditure by level of education: tertiary (as % of government expenditure),16.4995,
262,Djibouti,2010,Government expenditure on education (% of government expenditure),12.3284,
262,Djibouti,2010,Public expenditure on education (% of GDP),4.4902,
262,Djibouti,2015,Expenditure by level of education: secondary (as % of government expenditure),1.2659,Estimate.
262,Djibouti,2015,Government expenditure on education (% of government expenditure),8.5764,Estimate.
262,Djibouti,2015,Public expenditure on education (% of GDP),5.3407,Estimate.
262,Djibouti,2016,Expenditure by level of education: primary (as % of government expenditure),42.8361,Estimate.
262,Djibouti,2016,Expenditure by level of education: secondary (as % of government expenditure),0.829,Estimate.
262,Djibouti,2016,Government expenditure on education (% of government expenditure),12.0085,Estimate.
262,Djibouti,2016,Public expenditure on education (% of GDP),5.7913,Estimate.
262,Djibouti,2018,Government expenditure on education (% of government expenditure),13.9915,Estimate.
262,Djibouti,2018,Public expenditure on education (% of GDP),5.5594,Estimate.
212,Dominica,2012,All staff compensation as % of total expenditure in public institutions (%),100,
212,Dominica,2015,Expenditure by level of education: pre-primary (as % of government expenditure),1.9381,
212,Dominica,2015,Expenditure by level of education: primary (as % of government expenditure),45.8287,
212,Dominica,2015,Expenditure by level of education: secondary (as % of government expenditure),43.3707,
212,Dominica,2015,Expenditure by level of education: tertiary (as % of government expenditure),8.8625,
212,Dominica,2015,Government expenditure on education (% of government expenditure),10.5221,
212,Dominica,2015,Public expenditure on education (% of GDP),3.3869,
214,Dominican Republic,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.6284,
214,Dominican Republic,2002,All staff compensation as % of total expenditure in public institutions (%),76.6617,
214,Dominican Republic,2002,Capital expenditure as % of total expenditure in public institutions (%),6.7099,
214,Dominican Republic,2002,Expenditure by level of education: pre-primary (as % of government expenditure),2.0985,
214,Dominican Republic,2002,Expenditure by level of education: primary (as % of government expenditure),62.7693,
214,Dominican Republic,2002,Government expenditure on education (% of government expenditure),12.0797,
214,Dominican Republic,2002,Public expenditure on education (% of GDP),1.914,
214,Dominican Republic,2003,Government expenditure on education (% of government expenditure),9.7018,Estimate.
214,Dominican Republic,2003,Public expenditure on education (% of GDP),1.8447,Estimate.
214,Dominican Republic,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.0524,
214,Dominican Republic,2004,All staff compensation as % of total expenditure in public institutions (%),72.5542,
214,Dominican Republic,2004,Capital expenditure as % of total expenditure in public institutions (%),3.3933,
214,Dominican Republic,2007,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.5247,
214,Dominican Republic,2007,All staff compensation as % of total expenditure in public institutions (%),66.9081,
214,Dominican Republic,2007,Capital expenditure as % of total expenditure in public institutions (%),17.5672,
214,Dominican Republic,2007,Expenditure by level of education: pre-primary (as % of government expenditure),4.2033,
214,Dominican Republic,2007,Expenditure by level of education: primary (as % of government expenditure),58.679,
214,Dominican Republic,2007,Expenditure by level of education: secondary (as % of government expenditure),17.9537,
214,Dominican Republic,2007,Expenditure by level of education: tertiary (as % of government expenditure),14.535,
214,Dominican Republic,2007,Government expenditure on education (% of government expenditure),12.5779,
214,Dominican Republic,2007,Public expenditure on education (% of GDP),2.0468,
218,Ecuador,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.7102,
218,Ecuador,2000,All staff compensation as % of total expenditure in public institutions (%),78.069,
218,Ecuador,2000,Capital expenditure as % of total expenditure in public institutions (%),5.2208,
218,Ecuador,2000,Expenditure by level of education: primary (as % of government expenditure),38.2881,
218,Ecuador,2000,Expenditure by level of education: secondary (as % of government expenditure),34.556,
218,Ecuador,2000,Expenditure by level of education: tertiary (as % of government expenditure),5.1601,
218,Ecuador,2000,Government expenditure on education (% of government expenditure),4.9573,
218,Ecuador,2000,Public expenditure on education (% of GDP),1.1509,
218,Ecuador,2010,Expenditure by level of education: pre-primary (as % of government expenditure),21.3889,
218,Ecuador,2010,Expenditure by level of education: primary (as % of government expenditure),32.3874,
218,Ecuador,2010,Expenditure by level of education: secondary (as % of government expenditure),10.4359,
218,Ecuador,2010,Expenditure by level of education: tertiary (as % of government expenditure),35.7878,
218,Ecuador,2010,Government expenditure on education (% of government expenditure),12.9966,
218,Ecuador,2010,Public expenditure on education (% of GDP),4.5074,
218,Ecuador,2015,Expenditure by level of education: pre-primary (as % of government expenditure),21.1197,
218,Ecuador,2015,Expenditure by level of education: primary (as % of government expenditure),23.2552,
218,Ecuador,2015,Expenditure by level of education: secondary (as % of government expenditure),12.1114,
218,Ecuador,2015,Expenditure by level of education: tertiary (as % of government expenditure),43.5137,
218,Ecuador,2015,Government expenditure on education (% of government expenditure),12.5977,
218,Ecuador,2015,Public expenditure on education (% of GDP),4.9987,
818,Egypt,2005,Government expenditure on education (% of government expenditure),15.0436,
818,Egypt,2005,Public expenditure on education (% of GDP),4.7944,
818,Egypt,2008,Government expenditure on education (% of government expenditure),10.9418,
818,Egypt,2008,Public expenditure on education (% of GDP),3.7608,
222,El Salvador,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.2962,
222,El Salvador,2005,All staff compensation as % of total expenditure in public institutions (%),66.8642,
222,El Salvador,2005,Capital expenditure as % of total expenditure in public institutions (%),5.8396,
222,El Salvador,2005,Expenditure by level of education: pre-primary (as % of government expenditure),8.5412,Estimate.
222,El Salvador,2005,Expenditure by level of education: primary (as % of government expenditure),51.0002,Estimate.
222,El Salvador,2005,Expenditure by level of education: secondary (as % of government expenditure),29.0881,Estimate.
222,El Salvador,2005,Expenditure by level of education: tertiary (as % of government expenditure),11.1496,Estimate.
222,El Salvador,2005,Government expenditure on education (% of government expenditure),14.6558,Estimate.
222,El Salvador,2005,Public expenditure on education (% of GDP),3.1779,Estimate.
222,El Salvador,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),37.8269,
222,El Salvador,2008,All staff compensation as % of total expenditure in public institutions (%),51.6922,
222,El Salvador,2008,Capital expenditure as % of total expenditure in public institutions (%),10.481,
222,El Salvador,2008,Expenditure by level of education: pre-primary (as % of government expenditure),9.0754,
222,El Salvador,2008,Expenditure by level of education: primary (as % of government expenditure),37.9914,
222,El Salvador,2008,Expenditure by level of education: secondary (as % of government expenditure),22.0462,
222,El Salvador,2008,Government expenditure on education (% of government expenditure),19.4488,
222,El Salvador,2008,Public expenditure on education (% of GDP),4.4581,
222,El Salvador,2010,Expenditure by level of education: pre-primary (as % of government expenditure),7.9009,
222,El Salvador,2010,Expenditure by level of education: primary (as % of government expenditure),42.6687,
222,El Salvador,2010,Expenditure by level of education: secondary (as % of government expenditure),30.0947,
222,El Salvador,2010,Expenditure by level of education: tertiary (as % of government expenditure),12.2358,
222,El Salvador,2010,Government expenditure on education (% of government expenditure),16.1642,
222,El Salvador,2010,Public expenditure on education (% of GDP),4.0481,
222,El Salvador,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.9897,
222,El Salvador,2015,All staff compensation as % of total expenditure in public institutions (%),67.1054,
222,El Salvador,2015,Capital expenditure as % of total expenditure in public institutions (%),6.2239,
222,El Salvador,2015,Expenditure by level of education: pre-primary (as % of government expenditure),7.2491,
222,El Salvador,2015,Expenditure by level of education: primary (as % of government expenditure),40.6445,
222,El Salvador,2015,Expenditure by level of education: secondary (as % of government expenditure),31.7769,
222,El Salvador,2015,Expenditure by level of education: tertiary (as % of government expenditure),7.8705,
222,El Salvador,2015,Government expenditure on education (% of government expenditure),16.6016,
222,El Salvador,2015,Public expenditure on education (% of GDP),3.9099,
222,El Salvador,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.0257,
222,El Salvador,2016,All staff compensation as % of total expenditure in public institutions (%),67.9505,
222,El Salvador,2016,Capital expenditure as % of total expenditure in public institutions (%),7.0238,
222,El Salvador,2016,Expenditure by level of education: pre-primary (as % of government expenditure),9.246,
222,El Salvador,2016,Expenditure by level of education: primary (as % of government expenditure),47.1806,
222,El Salvador,2016,Expenditure by level of education: secondary (as % of government expenditure),35.2675,
222,El Salvador,2016,Expenditure by level of education: tertiary (as % of government expenditure),8.0268,
222,El Salvador,2016,Government expenditure on education (% of government expenditure),16.1132,
222,El Salvador,2016,Public expenditure on education (% of GDP),3.8312,
222,El Salvador,2017,All staff compensation as % of total expenditure in public institutions (%),91.9535,
222,El Salvador,2017,Capital expenditure as % of total expenditure in public institutions (%),8.0465,
222,El Salvador,2017,Expenditure by level of education: pre-primary (as % of government expenditure),9.8686,
222,El Salvador,2017,Expenditure by level of education: primary (as % of government expenditure),45.606,
222,El Salvador,2017,Expenditure by level of education: secondary (as % of government expenditure),34.8912,
222,El Salvador,2017,Expenditure by level of education: tertiary (as % of government expenditure),9.3715,
222,El Salvador,2017,Government expenditure on education (% of government expenditure),15.5921,
222,El Salvador,2017,Public expenditure on education (% of GDP),3.7329,
222,El Salvador,2018,Capital expenditure as % of total expenditure in public institutions (%),6.6963,
222,El Salvador,2018,Expenditure by level of education: pre-primary (as % of government expenditure),10.267,
222,El Salvador,2018,Expenditure by level of education: primary (as % of government expenditure),46.1649,
222,El Salvador,2018,Expenditure by level of education: secondary (as % of government expenditure),34.0214,
222,El Salvador,2018,Expenditure by level of education: tertiary (as % of government expenditure),9.1713,
222,El Salvador,2018,Government expenditure on education (% of government expenditure),14.945,
222,El Salvador,2018,Public expenditure on education (% of GDP),3.6008,
232,Eritrea,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.6091,
232,Eritrea,2002,All staff compensation as % of total expenditure in public institutions (%),30.9713,
232,Eritrea,2002,Capital expenditure as % of total expenditure in public institutions (%),60.4194,
232,Eritrea,2002,Expenditure by level of education: primary (as % of government expenditure),26.013,
232,Eritrea,2002,Expenditure by level of education: secondary (as % of government expenditure),35.4122,
232,Eritrea,2002,Expenditure by level of education: tertiary (as % of government expenditure),14.889,
232,Eritrea,2002,Government expenditure on education (% of government expenditure),5.6334,
232,Eritrea,2002,Public expenditure on education (% of GDP),3.5239,
232,Eritrea,2004,Capital expenditure as % of total expenditure in public institutions (%),41.6911,
232,Eritrea,2004,Expenditure by level of education: primary (as % of government expenditure),23.0667,
232,Eritrea,2004,Expenditure by level of education: secondary (as % of government expenditure),21.0942,
232,Eritrea,2004,Expenditure by level of education: tertiary (as % of government expenditure),31.8975,
232,Eritrea,2004,Government expenditure on education (% of government expenditure),5.7419,
232,Eritrea,2004,Public expenditure on education (% of GDP),3.149,
232,Eritrea,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.6907,
232,Eritrea,2006,All staff compensation as % of total expenditure in public institutions (%),57.7222,
232,Eritrea,2006,Capital expenditure as % of total expenditure in public institutions (%),19.5872,
232,Eritrea,2006,Government expenditure on education (% of government expenditure),5.1681,
232,Eritrea,2006,Public expenditure on education (% of GDP),2.127,
233,Estonia,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.7532,
233,Estonia,2002,All staff compensation as % of total expenditure in public institutions (%),56.2886,
233,Estonia,2002,Capital expenditure as % of total expenditure in public institutions (%),14.9582,
233,Estonia,2002,Expenditure by level of education: pre-primary (as % of government expenditure),5.1706,
233,Estonia,2002,Expenditure by level of education: primary (as % of government expenditure),28.0174,
233,Estonia,2002,Expenditure by level of education: secondary (as % of government expenditure),40.9439,
233,Estonia,2002,Expenditure by level of education: tertiary (as % of government expenditure),19.7054,
233,Estonia,2002,Government expenditure on education (% of government expenditure),15.1452,
233,Estonia,2002,Public expenditure on education (% of GDP),5.4687,
233,Estonia,2004,Capital expenditure as % of total expenditure in public institutions (%),9.5002,
233,Estonia,2004,Expenditure by level of education: pre-primary (as % of government expenditure),6.4326,
233,Estonia,2004,Expenditure by level of education: primary (as % of government expenditure),25.7572,
233,Estonia,2004,Expenditure by level of education: secondary (as % of government expenditure),46.2611,
233,Estonia,2004,Expenditure by level of education: tertiary (as % of government expenditure),17.3814,
233,Estonia,2004,Government expenditure on education (% of government expenditure),14.3061,
233,Estonia,2004,Public expenditure on education (% of GDP),4.9118,
233,Estonia,2005,Expenditure by level of education: pre-primary (as % of government expenditure),7.3662,
233,Estonia,2005,Expenditure by level of education: primary (as % of government expenditure),25.2957,
233,Estonia,2005,Expenditure by level of education: secondary (as % of government expenditure),43.7171,
233,Estonia,2005,Expenditure by level of education: tertiary (as % of government expenditure),18.9484,
233,Estonia,2005,Government expenditure on education (% of government expenditure),14.2577,
233,Estonia,2005,Public expenditure on education (% of GDP),4.8449,
233,Estonia,2010,Expenditure by level of education: pre-primary (as % of government expenditure),7.8482,
233,Estonia,2010,Expenditure by level of education: primary (as % of government expenditure),24.5817,
233,Estonia,2010,Expenditure by level of education: secondary (as % of government expenditure),40.1288,
233,Estonia,2010,Expenditure by level of education: tertiary (as % of government expenditure),21.7378,
233,Estonia,2010,Government expenditure on education (% of government expenditure),13.6428,
233,Estonia,2010,Public expenditure on education (% of GDP),5.527,
233,Estonia,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.9036,
233,Estonia,2013,All staff compensation as % of total expenditure in public institutions (%),57.7103,
233,Estonia,2013,Capital expenditure as % of total expenditure in public institutions (%),13.3861,
233,Estonia,2013,Expenditure by level of education: pre-primary (as % of government expenditure),7.273,
233,Estonia,2013,Expenditure by level of education: primary (as % of government expenditure),30.6962,
233,Estonia,2013,Expenditure by level of education: secondary (as % of government expenditure),29.4152,
233,Estonia,2013,Expenditure by level of education: tertiary (as % of government expenditure),28.2268,
233,Estonia,2013,Government expenditure on education (% of government expenditure),12.5826,
233,Estonia,2013,Public expenditure on education (% of GDP),4.8384,
233,Estonia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.875,
233,Estonia,2015,All staff compensation as % of total expenditure in public institutions (%),64.7553,
233,Estonia,2015,Capital expenditure as % of total expenditure in public institutions (%),8.3696,
233,Estonia,2015,Expenditure by level of education: primary (as % of government expenditure),23.8619,
233,Estonia,2015,Expenditure by level of education: secondary (as % of government expenditure),25.8999,
233,Estonia,2015,Expenditure by level of education: tertiary (as % of government expenditure),27.0437,
233,Estonia,2015,Government expenditure on education (% of government expenditure),12.9666,
233,Estonia,2015,Public expenditure on education (% of GDP),5.139,
233,Estonia,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.5242,
233,Estonia,2016,All staff compensation as % of total expenditure in public institutions (%),66.416,
233,Estonia,2016,Capital expenditure as % of total expenditure in public institutions (%),7.0598,
233,Estonia,2016,Expenditure by level of education: primary (as % of government expenditure),24.9674,
233,Estonia,2016,Expenditure by level of education: secondary (as % of government expenditure),25.201,
233,Estonia,2016,Expenditure by level of education: tertiary (as % of government expenditure),27.1181,
233,Estonia,2016,Government expenditure on education (% of government expenditure),13.1083,
233,Estonia,2016,Public expenditure on education (% of GDP),5.1732,
748,Eswatini,2005,Expenditure by level of education: pre-primary (as % of government expenditure),0.0315,
748,Eswatini,2005,Expenditure by level of education: primary (as % of government expenditure),39.8591,
748,Eswatini,2005,Expenditure by level of education: secondary (as % of government expenditure),34.9195,
748,Eswatini,2005,Expenditure by level of education: tertiary (as % of government expenditure),23.9405,
748,Eswatini,2005,Government expenditure on education (% of government expenditure),20.8919,
748,Eswatini,2005,Public expenditure on education (% of GDP),6.4846,
748,Eswatini,2010,Expenditure by level of education: pre-primary (as % of government expenditure),0.1557,
748,Eswatini,2010,Expenditure by level of education: primary (as % of government expenditure),47.1645,
748,Eswatini,2010,Expenditure by level of education: secondary (as % of government expenditure),35.5,
748,Eswatini,2010,Expenditure by level of education: tertiary (as % of government expenditure),16.5677,
748,Eswatini,2010,Government expenditure on education (% of government expenditure),18.283,
748,Eswatini,2010,Public expenditure on education (% of GDP),6.1184,
748,Eswatini,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),36.2266,
748,Eswatini,2014,All staff compensation as % of total expenditure in public institutions (%),59.2743,
748,Eswatini,2014,Capital expenditure as % of total expenditure in public institutions (%),4.4991,
748,Eswatini,2014,Expenditure by level of education: pre-primary (as % of government expenditure),1.1448,
748,Eswatini,2014,Expenditure by level of education: primary (as % of government expenditure),50.7877,
748,Eswatini,2014,Expenditure by level of education: secondary (as % of government expenditure),34.054,
748,Eswatini,2014,Expenditure by level of education: tertiary (as % of government expenditure),13.3328,
748,Eswatini,2014,Government expenditure on education (% of government expenditure),24.7954,
748,Eswatini,2014,Public expenditure on education (% of GDP),7.1277,
231,Ethiopia,2002,Government expenditure on education (% of government expenditure),16.1878,Estimate.
231,Ethiopia,2002,Public expenditure on education (% of GDP),3.6325,Estimate.
231,Ethiopia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.0226,
231,Ethiopia,2010,All staff compensation as % of total expenditure in public institutions (%),44.8301,
231,Ethiopia,2010,Capital expenditure as % of total expenditure in public institutions (%),34.1473,
231,Ethiopia,2010,Expenditure by level of education: pre-primary (as % of government expenditure),0.0408,
231,Ethiopia,2010,Expenditure by level of education: primary (as % of government expenditure),28.3953,
231,Ethiopia,2010,Expenditure by level of education: secondary (as % of government expenditure),25.0159,
231,Ethiopia,2010,Expenditure by level of education: tertiary (as % of government expenditure),43.9366,
231,Ethiopia,2010,Government expenditure on education (% of government expenditure),26.304,
231,Ethiopia,2010,Public expenditure on education (% of GDP),4.4966,
231,Ethiopia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.4207,
231,Ethiopia,2015,All staff compensation as % of total expenditure in public institutions (%),45.206,
231,Ethiopia,2015,Capital expenditure as % of total expenditure in public institutions (%),35.3733,
231,Ethiopia,2015,Expenditure by level of education: pre-primary (as % of government expenditure),1.9282,
231,Ethiopia,2015,Expenditure by level of education: primary (as % of government expenditure),27.4527,
231,Ethiopia,2015,Expenditure by level of education: secondary (as % of government expenditure),18.1389,
231,Ethiopia,2015,Expenditure by level of education: tertiary (as % of government expenditure),47.8522,
231,Ethiopia,2015,Government expenditure on education (% of government expenditure),27.0987,
231,Ethiopia,2015,Public expenditure on education (% of GDP),4.7379,
242,Fiji,2004,Expenditure by level of education: pre-primary (as % of government expenditure),0.1923,
242,Fiji,2004,Expenditure by level of education: primary (as % of government expenditure),39.085,
242,Fiji,2004,Expenditure by level of education: secondary (as % of government expenditure),32.5986,
242,Fiji,2004,Expenditure by level of education: tertiary (as % of government expenditure),15.8892,
242,Fiji,2004,Government expenditure on education (% of government expenditure),23.7492,
242,Fiji,2004,Public expenditure on education (% of GDP),6.1649,
242,Fiji,2005,Government expenditure on education (% of government expenditure),20.2661,
242,Fiji,2005,Public expenditure on education (% of GDP),5.122,
242,Fiji,2009,Government expenditure on education (% of government expenditure),15.8536,
242,Fiji,2009,Public expenditure on education (% of GDP),4.4985,
242,Fiji,2011,Expenditure by level of education: pre-primary (as % of government expenditure),0.4319,
242,Fiji,2011,Expenditure by level of education: primary (as % of government expenditure),44.4127,
242,Fiji,2011,Expenditure by level of education: secondary (as % of government expenditure),15.9448,
242,Fiji,2011,Expenditure by level of education: tertiary (as % of government expenditure),12.9569,
242,Fiji,2011,Government expenditure on education (% of government expenditure),15.2348,
242,Fiji,2011,Public expenditure on education (% of GDP),4.1731,
242,Fiji,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),1.156,
242,Fiji,2013,All staff compensation as % of total expenditure in public institutions (%),98.7107,
242,Fiji,2013,Capital expenditure as % of total expenditure in public institutions (%),0.1333,
242,Fiji,2013,Expenditure by level of education: primary (as % of government expenditure),38.6039,
242,Fiji,2013,Expenditure by level of education: tertiary (as % of government expenditure),22.563,
242,Fiji,2013,Government expenditure on education (% of government expenditure),14.3004,
242,Fiji,2013,Public expenditure on education (% of GDP),3.8829,
246,Finland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.0545,
246,Finland,2005,All staff compensation as % of total expenditure in public institutions (%),60.9209,
246,Finland,2005,Capital expenditure as % of total expenditure in public institutions (%),7.0246,
246,Finland,2005,Expenditure by level of education: pre-primary (as % of government expenditure),5.4956,
246,Finland,2005,Expenditure by level of education: primary (as % of government expenditure),20.7598,
246,Finland,2005,Expenditure by level of education: secondary (as % of government expenditure),41.9344,
246,Finland,2005,Expenditure by level of education: tertiary (as % of government expenditure),31.8102,
246,Finland,2005,Government expenditure on education (% of government expenditure),12.2497,
246,Finland,2005,Public expenditure on education (% of GDP),6.0361,
246,Finland,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),33.6014,
246,Finland,2010,All staff compensation as % of total expenditure in public institutions (%),60.3236,
246,Finland,2010,Capital expenditure as % of total expenditure in public institutions (%),6.075,
246,Finland,2010,Expenditure by level of education: pre-primary (as % of government expenditure),5.7983,
246,Finland,2010,Expenditure by level of education: primary (as % of government expenditure),19.9068,
246,Finland,2010,Expenditure by level of education: secondary (as % of government expenditure),42.4476,
246,Finland,2010,Expenditure by level of education: tertiary (as % of government expenditure),31.8473,
246,Finland,2010,Government expenditure on education (% of government expenditure),11.9455,
246,Finland,2010,Public expenditure on education (% of GDP),6.5407,
246,Finland,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.6714,
246,Finland,2015,All staff compensation as % of total expenditure in public institutions (%),56.4854,
246,Finland,2015,Capital expenditure as % of total expenditure in public institutions (%),8.8432,
246,Finland,2015,Expenditure by level of education: pre-primary (as % of government expenditure),10.8072,
246,Finland,2015,Expenditure by level of education: primary (as % of government expenditure),20.2441,
246,Finland,2015,Expenditure by level of education: secondary (as % of government expenditure),37.4682,
246,Finland,2015,Expenditure by level of education: tertiary (as % of government expenditure),26.6963,
246,Finland,2015,Government expenditure on education (% of government expenditure),12.4121,
246,Finland,2015,Public expenditure on education (% of GDP),7.0801,
246,Finland,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),35.4814,
246,Finland,2016,All staff compensation as % of total expenditure in public institutions (%),55.7149,
246,Finland,2016,Capital expenditure as % of total expenditure in public institutions (%),8.8037,
246,Finland,2016,Expenditure by level of education: pre-primary (as % of government expenditure),11.0073,
246,Finland,2016,Expenditure by level of education: primary (as % of government expenditure),20.5112,
246,Finland,2016,Expenditure by level of education: secondary (as % of government expenditure),36.9477,
246,Finland,2016,Expenditure by level of education: tertiary (as % of government expenditure),26.542,
246,Finland,2016,Government expenditure on education (% of government expenditure),12.3351,
246,Finland,2016,Public expenditure on education (% of GDP),6.8974,
266,Gabon,2000,Government expenditure on education (% of government expenditure),17.7065,Estimate.
266,Gabon,2000,Public expenditure on education (% of GDP),3.8271,Estimate.
266,Gabon,2010,Expenditure by level of education: pre-primary (as % of government expenditure),3.647,
266,Gabon,2010,Expenditure by level of education: primary (as % of government expenditure),29.6186,
266,Gabon,2010,Expenditure by level of education: secondary (as % of government expenditure),28.2562,
266,Gabon,2010,Expenditure by level of education: tertiary (as % of government expenditure),37.8439,
266,Gabon,2010,Government expenditure on education (% of government expenditure),13.3304,
266,Gabon,2010,Public expenditure on education (% of GDP),3.0781,
266,Gabon,2014,All staff compensation as % of total expenditure in public institutions (%),45.5284,
266,Gabon,2014,Expenditure by level of education: pre-primary (as % of government expenditure),3.8482,
266,Gabon,2014,Expenditure by level of education: primary (as % of government expenditure),29.2355,
266,Gabon,2014,Expenditure by level of education: secondary (as % of government expenditure),28.9388,
266,Gabon,2014,Expenditure by level of education: tertiary (as % of government expenditure),37.826,
266,Gabon,2014,Government expenditure on education (% of government expenditure),11.2255,
266,Gabon,2014,Public expenditure on education (% of GDP),2.6667,
270,Gambia,2005,Expenditure by level of education: primary (as % of government expenditure),61.4463,
270,Gambia,2005,Expenditure by level of education: secondary (as % of government expenditure),23.0954,
270,Gambia,2005,Expenditure by level of education: tertiary (as % of government expenditure),14.2694,
270,Gambia,2005,Government expenditure on education (% of government expenditure),5.3442,
270,Gambia,2005,Public expenditure on education (% of GDP),1.1392,
270,Gambia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.8224,
270,Gambia,2010,All staff compensation as % of total expenditure in public institutions (%),46.416,
270,Gambia,2010,Capital expenditure as % of total expenditure in public institutions (%),42.7616,
